State,State_GeoNames_URI,State_GeoNames_Coords,State_GeoNames_Label,URI
Guangxi Zhuangzu Zizhiqu,http://sws.geonames.org/1809867," 24, 109",Guangxi Zhuangzu Zizhiqu,http://vocab.getty.edu/tgn/1001678
Guatemala,http://sws.geonames.org/3595528," 15.5, -90.25",Guatemala,http://vocab.getty.edu/tgn/1000621
"HaDarom, Meroz",,,,http://vocab.getty.edu/tgn/1000861
Haifa,http://sws.geonames.org/294801," 32.81841, 34.9885",Haifa,http://vocab.getty.edu/tgn/1000808
"Hải Phòng, Thành Phố",http://sws.geonames.org/1581297," 20.8, 106.66667",Thành Phố Hải Phòng,http://vocab.getty.edu/tgn/7001044
Hamburg,http://sws.geonames.org/2911298," 53.57532, 10.01534",Hamburg,http://vocab.getty.edu/tgn/7003673
"HaMerkaz, Meẖoz",http://sws.geonames.org/294904," 32.08333, 34.91667",Central District,http://vocab.getty.edu/tgn/1000862
"Hà So'n Bình, Tỉnh",,,,http://vocab.getty.edu/tgn/7001041
Haute-Normandy,http://sws.geonames.org/3013755," 49.5, 1",Haute-Normandie,http://vocab.getty.edu/tgn/7002882
Hawaii,http://sws.geonames.org/5855797," 20.75028, -156.50028",Hawaii,http://vocab.getty.edu/tgn/7007249
Hesse,http://sws.geonames.org/2905330," 50.55, 9",Hesse,http://vocab.getty.edu/tgn/7003678
Hồ Chí Minh,http://sws.geonames.org/1580578," 10.82327, 106.62978",Ho Chi Minh City,http://vocab.getty.edu/tgn/7001069
Île-de-France,http://sws.geonames.org/10121169," 45.24329, 19.82483",Ile De France,http://vocab.getty.edu/tgn/7024269
Illinois,http://sws.geonames.org/4896861," 40.00032, -89.25037",Illinois,http://vocab.getty.edu/tgn/7007251
Indiana,http://sws.geonames.org/4921868," 40.00032, -86.25027",Indiana,http://vocab.getty.edu/tgn/7007252
Iowa,http://sws.geonames.org/4862182," 42.00027, -93.50049",Iowa,http://vocab.getty.edu/tgn/7007253
Istanbul,http://sws.geonames.org/745044," 41.01384, 28.94966",Istanbul,http://vocab.getty.edu/tgn/1001052
Jalisco,http://sws.geonames.org/4004156," 20.33333, -103.66667",Jalisco,http://vocab.getty.edu/tgn/7005586
Java,http://sws.geonames.org/9062339," -7.30101, 109.87784",Java,http://vocab.getty.edu/tgn/7003695
Jawa Timur,http://sws.geonames.org/1642668," -7.7394, 112.5099",East Java,http://vocab.getty.edu/tgn/1001323
Jerusalem,http://sws.geonames.org/281184," 31.76904, 35.21633",Jerusalem,http://vocab.getty.edu/tgn/1000953
Kābul,http://sws.geonames.org/1138958," 34.52813, 69.17233",Kabul,http://vocab.getty.edu/tgn/1001331
Kansas,http://sws.geonames.org/4273857," 38.50029, -98.50063",Kansas,http://vocab.getty.edu/tgn/7007254
Kanto,http://sws.geonames.org/3356384," -17.86667, 18.7",Kanto,http://vocab.getty.edu/tgn/7000894
Kentucky,http://sws.geonames.org/6254925," 38.20042, -84.87762",Kentucky,http://vocab.getty.edu/tgn/7007255
Kinki,http://sws.geonames.org/2275901," 6.53333, -9.83333",Kinki,http://vocab.getty.edu/tgn/7000896
KwaZulu/Natal,http://sws.geonames.org/972062," -29, 30",KwaZulu-Natal,http://vocab.getty.edu/tgn/7016749
La Habana,http://sws.geonames.org/3564073," 23.08333, -82.3",La Habana,http://vocab.getty.edu/tgn/1001206
La Paz,http://sws.geonames.org/3911925," -16.5, -68.15",La Paz,http://vocab.getty.edu/tgn/1000662
Lazio,http://sws.geonames.org/6470132," 41.9028, 12.5023",Lazio,http://vocab.getty.edu/tgn/7003080
Leicester,http://sws.geonames.org/2644668," 52.6386, -1.13169",Leicester,http://vocab.getty.edu/tgn/7026515
Leinster,http://sws.geonames.org/8310729," -27.92028, 120.6967",Leinster,http://vocab.getty.edu/tgn/7001199
Liban-Sud,http://sws.geonames.org/279894," 33.41667, 35.33333",Mohafazat Liban-Sud,http://vocab.getty.edu/tgn/1001084
Lima,http://sws.geonames.org/3936456," -12.04318, -77.02824",Lima,http://vocab.getty.edu/tgn/1000670
Lombardy,http://sws.geonames.org/3174618," 45.66667, 9.5",Lombardy,http://vocab.getty.edu/tgn/7003237
Lorraine,http://sws.geonames.org/2997551," 48.76667, 6.13333",Lorraine,http://vocab.getty.edu/tgn/7002888
Louisiana,http://sws.geonames.org/4331987," 31.00047, -92.0004",Louisiana,http://vocab.getty.edu/tgn/7007256
Luzon,http://sws.geonames.org/1704846," 16, 121",Luzon,http://vocab.getty.edu/tgn/7016720
Maine,http://sws.geonames.org/4971068," 45.50032, -69.24977",Maine,http://vocab.getty.edu/tgn/7007515
Manitoba,http://sws.geonames.org/6065171," 55.00019, -97.00049",Manitoba,http://vocab.getty.edu/tgn/7013143
Maryland,http://sws.geonames.org/4361885," 39.00039, -76.74997",Maryland,http://vocab.getty.edu/tgn/7007516
Massachusetts,http://sws.geonames.org/6254926," 42.36565, -71.10832",Massachusetts,http://vocab.getty.edu/tgn/7007517
Mazowieckie,http://sws.geonames.org/7531796," 52.9241, 22.518",Wysokie Mazowieckie,http://vocab.getty.edu/tgn/7024122
Mecklenburg-Vorpommern,http://sws.geonames.org/2872567," 53.83333, 12.5",Mecklenburg-Vorpommern,http://vocab.getty.edu/tgn/7000094
Merseyside,http://sws.geonames.org/2642713," 53.4, -3.08333",Merseyside,http://vocab.getty.edu/tgn/7029504
Mexico,http://sws.geonames.org/3996063," 23, -102",Mexico,http://vocab.getty.edu/tgn/1001893
Michigan,http://sws.geonames.org/5001836," 44.25029, -85.50033",Michigan,http://vocab.getty.edu/tgn/7007520
Minnesota,http://sws.geonames.org/5037779," 46.25024, -94.25055",Minnesota,http://vocab.getty.edu/tgn/7007521
Mississippi,http://sws.geonames.org/4436296," 32.75041, -89.75036",Mississippi,http://vocab.getty.edu/tgn/7007522
Missouri,http://sws.geonames.org/4398678," 38.25031, -92.50046",Missouri,http://vocab.getty.edu/tgn/7007523
Monagas,http://sws.geonames.org/3632100," 9.33333, -63",Monagas,http://vocab.getty.edu/tgn/1001903
Montana,http://sws.geonames.org/5667009," 47.00025, -109.75102",Montana,http://vocab.getty.edu/tgn/7007524
Muğla,http://sws.geonames.org/6461320," 41.61667, 24.475",Mugla,http://vocab.getty.edu/tgn/1001438
Muḩāfaz̧at al Iskandarīyah,http://sws.geonames.org/361059," 31, 29.75",Alexandria,http://vocab.getty.edu/tgn/1001079
Nebraska,http://sws.geonames.org/5073708," 41.50028, -99.75067",Nebraska,http://vocab.getty.edu/tgn/7007525
Nevada,http://sws.geonames.org/5509151," 39.25021, -116.75119",Nevada,http://vocab.getty.edu/tgn/7007526
New Hampshire,http://sws.geonames.org/5090174," 43.66702, -71.4998",New Hampshire,http://vocab.getty.edu/tgn/7007564
New Jersey,http://sws.geonames.org/5101760," 40.16706, -74.49987",New Jersey,http://vocab.getty.edu/tgn/7007565
New Mexico,http://sws.geonames.org/5481136," 34.50034, -106.00085",New Mexico,http://vocab.getty.edu/tgn/7007566
New Providence,http://sws.geonames.org/5101775," 40.69843, -74.40154",New Providence,http://vocab.getty.edu/tgn/1008328
New South Wales,http://sws.geonames.org/2155400," -33, 146",New South Wales,http://vocab.getty.edu/tgn/7001828
New York,http://sws.geonames.org/5128581," 40.71427, -74.00597",New York,http://vocab.getty.edu/tgn/7007568
Nord-Pas-de-Calais,http://sws.geonames.org/2990119," 50.46667, 2.7",Nord-Pas-de-Calais,http://vocab.getty.edu/tgn/7001097
North Carolina,http://sws.geonames.org/4482348," 35.50069, -80.00032",North Carolina,http://vocab.getty.edu/tgn/7007709
Northern Territory,http://sws.geonames.org/2064513," -20, 134",Northern Territory,http://vocab.getty.edu/tgn/7001829
North Rhine-Westphalia,http://sws.geonames.org/2861876," 51.21895, 6.76339",North Rhine-Westphalia,http://vocab.getty.edu/tgn/7003677
Northwest Territories,http://sws.geonames.org/6091069," 69.50061, -121.50445",Northwest Territories,http://vocab.getty.edu/tgn/1000296
North Carolina,http://sws.geonames.org/4482348," 35.50069, -80.00032",North Carolina,http://vocab.getty.edu/tgn/7007709
Nuevo Leon,http://sws.geonames.org/8711499," 22.69347, -98.88473",Nuevo Leon,http://vocab.getty.edu/tgn/7005589
Oaxaca,http://sws.geonames.org/3522509," 17, -96.5",Oaxaca,http://vocab.getty.edu/tgn/7005591
Ohio,http://sws.geonames.org/5165418," 40.25034, -83.00018",Ohio,http://vocab.getty.edu/tgn/7007706
Oklahoma,http://sws.geonames.org/4544379," 35.49209, -97.50328",Oklahoma,http://vocab.getty.edu/tgn/7007707
Ontario,http://sws.geonames.org/6093943," 49.25014, -84.49983",Ontario,http://vocab.getty.edu/tgn/7013154
Oregon,http://sws.geonames.org/5744337," 44.00013, -120.50139",Oregon,http://vocab.getty.edu/tgn/7007708
Ouest,http://sws.geonames.org/2540669," 35.09136, -5.21945",Ouest,http://vocab.getty.edu/tgn/7005518
Oxfordshire,http://sws.geonames.org/2640726," 51.83333, -1.25",Oxfordshire,http://vocab.getty.edu/tgn/7008168
Pays de la Loire,http://sws.geonames.org/2988289," 47.5, -0.83333",Pays de la Loire,http://vocab.getty.edu/tgn/7002893
Pennsylvania,http://sws.geonames.org/6254927," 40.27245, -76.90567",Pennsylvania,http://vocab.getty.edu/tgn/7007710
Periféreia Protevoúsis,http://sws.geonames.org/255543," 38, 23.75",Periféreia Protévousis,http://vocab.getty.edu/tgn/7001387
Picardy,http://sws.geonames.org/4365349," 39.53898, -78.51335",Picardy,http://vocab.getty.edu/tgn/7002890
Piedmont,http://sws.geonames.org/8673815," 45.90236, -74.11299",Piedmont,http://vocab.getty.edu/tgn/7003120
Portsmouth,http://sws.geonames.org/3575654," 15.58333, -61.46667",Portsmouth,http://vocab.getty.edu/tgn/7026526
Provence-Alpes-Côte d'Azur,http://sws.geonames.org/2985244," 44, 6",Provence-Alpes-Côte d'Azur,http://vocab.getty.edu/tgn/7002895
Puebla,http://sws.geonames.org/3521081," 19.04334, -98.20193",Puebla,http://vocab.getty.edu/tgn/7005592
Puno,http://sws.geonames.org/3931276," -15.8422, -70.0199",Puno,http://vocab.getty.edu/tgn/1000731
"Quảng Nam-Ḍà Nẵng, Tỉnh",,,,http://vocab.getty.edu/tgn/7001056
